head,type,tail
 10,subclass of,menaquinone
 12,subclass of,menaquinone
 13,subclass of,menaquinone
 2 evidence,said to be the same as,level 1
 2549I/D,instance of,snp
 2578C/A,instance of,snp
 3 diopter(D),parent taxon,New Zealand White rabbits
 460T/C,instance of,snp
 9 D PRK,parent taxon,New Zealand White rabbits
 99,instance of,small molecule
 CC,opposite of,+
 N,subclass of,sclc
 P,subclass of,sclc
 Y,subclass of,sclc
 low,instance of,molecular phenotype
 negative,subclass of,bacterium
 omics,studies,gene
 omics,studies,non model organisms
 β2,subclass of,Transforming growth factor beta
 β2,instance of,protein
 β3,subclass of,Transforming growth factor beta
 β3,instance of,protein
"""",subclass of,mrna
"""cut"" phenotype",subclass of,mitosis
"""eat me"" signal",has part,phosphatidylserine
"""other"" kinase",subclass of,gene amplification
"""sell"" a study",subclass of,Systematic efforts by researchers
$,part of,medical services
',followed by,'
',instance of,cultivar
',subclass of,phytoplasma
'ankyrin B syndrome',subclass of,ANK2 loss of function variants
'evo devo' studies,studies,evolution
'old knowledge',subclass of,knowledge
'weak' variant of social comparison,subclass of,human social comparison
(2 furyl)carbene,has part,o
(S) ketamine,subject has role,redox
([TNF] α,subject has role,inflammatory mediators
(auto)immune response,has cause,immune complexes
(cardio) metabolic diseases,has cause,(cardio) metabolism regulation
(mini )organ,subclass of,organ cultured
+,opposite of, CC
0 14 years' child group,subclass of,18 years
0,length,20
0,said to be the same as,4 years
0.2 0.6,said to be the same as,0.4
0.2 0.6,said to be the same as,0.5
0.4 0.6,said to be the same as,0.2 0.6
0.4,said to be the same as,0.2 0.6
0.5,said to be the same as,0.2 0.6
0.5,said to be the same as,0.4 0.6
0.989,part of,Interrater agreement
038701,publication date,2016
1 2 days,has part,62.57 ± 62.62 m
1 2 days,has part,distance of movement
1 Anilino 8 naphthalene sulfonate,instance of,thioflavin
1 MNA supplementation,medical condition treated,cancer associated thrombosis
1 aminocyclopropane 1 carboxylate,subject has role,precursor
1 day,instance of,index time point
"1 fluoro 2,4 dinitrobenzene",has effect,acd
"1 methyl 4 phenyl 1 1,2,3,6 tetrahydropyridine",subject has role,anti PD
1 pyrene isoxazoline,subject has role,fluorescent probe
1 stearoyl 2 oleoyl sn glycoro 3 phospholine,instance of,metabolite
1 stearoyl 2 oleoyl sn glycoro 3 phosphorine,instance of,"1,2 dioleoyl sn glycoro 3 phosphorylcholine"
1 study,number of participants,111 participants
1 study,number of participants,86 participants
1,point in time,1
"1,1 diphenyl 2 picryl hydrazyl",subject has role,antioxidation
"1,10 phenanthroline",has part,edta
"1,2 Benzenedicarboxylic acid",subject has role,anti fouling compound
"1,2 Benzenedicarboxylic acid",subject has role,antifoul
"1,2 dihydropyridine skeleton",has part,furan
"1,2 dioleoyl sn glycero 3 phosphocholine",instance of,lipid
"1,2 dioleoyl sn glycoro 3 phosphodylcholine",instance of,metabolite
"1,2,4 oxadiazole",subject has role,MAO B inhibitor
1,followed by,4
"1,5 AF",subject has role,Peroral administration
"1,5 AF",subject has role,intracerebroventricular
"1,5 AF",has effect,satiety
"1,5 AG",subject has role,Peroral administration
