head,type,tail
osteogenic differentiation,opposite of,adipogenic phenotype
intramuscular xenograft animal model,subclass of,in vivo xenograft animal model
cytoskeletal morphology,facet of,differentiation potential
calcified vessel,different from,diseased area
diseased area,different from,calcified vessel
arginine serine rich,instance of,domain
DCM,has cause,mis splicing
mis splicing,has effect,DCM
RBM20,part of,sarcoplasm
sarcoplasm,has part,RBM20
RNA recognition motif,part of,RBM20
RS domain,subclass of,nuclear localization signal
DCM,has cause,NLS mutations
NLS mutations,has effect,DCM
early onset colorectal cancer,subclass of,EO CRC
HNF1AA98V,subject has role,DNA binding
Cas9,part of,CRISPR/Cas9
chow,has part,HFD
chow,has part,HSD
HFD,subclass of,chow
HSD,subclass of,chow
β catenin,part of,colonic polyps
Cdx2,part of,colonic polyps
Metabolic scaling,instance of,inverse correlation
mathematical modeling,subclass of,computational modeling
in vitro,different from,in vivo
in vivo,different from,in vitro
GCAA,subclass of,RNAs
GAAA,subclass of,RNAs
UUCG,subclass of,RNAs
OpenMM,developer,MiaoLab20
variability from year to year,facet of,masting
Quercus robur,parent taxon,Quercus pubescens
multi well plates,subclass of,culture platform
TME,has part,ATP
AHB Gel,subject has role,storage stability
trimeric,subclass of,architecture
columella cells,part of,shoot endodermal
GATA,part of,Arabidopsis thaliana
shoot,has part,hypocotyl
hypocotyl,part of,shoot
starch granule initiation,part of,starch synthesis
Mn toxicity,has cause,Mn
Mn uptake,has part,Mn
CIPK23,encodes,NRAMP1
Mn transporter,has part,NRAMP1
Mn transporter,has part,Ser20
NRAMP1,part of,Mn transporter
Ser20,part of,Mn transporter
CBL1,part of,CIPK23
CIPK23,has part,CBL1
CIPK23,has part,NRAMP1
NRAMP1,part of,CIPK23
Cas9,part of,CRISPR/Cas9 generated
Plant,has part,secondary metabolism
secondary metabolism,part of,Plant
TTG1,subclass of,WD40 repeat protein
SnRK1,part of,Arabidopsis
chronic unpredictable stress,subclass of,pre pregnancy stress
mid,followed by,late pregnancy
postpartum period,facet of,vascular health
nucellar,subclass of,gametophyte
Brachiaria,endemic to,Brazil
megaspore mother cell,subclass of,nucellar cells
Sequence analysis,use,signal prediction
Arabidopsis thaliana,parent taxon,dicot
AlphaFold 2,use,holo structure
nucelar cells,subclass of,gametophyte
co actor,different from,co actor
learning criterion,facet of,social context
Tonoplast sugar transporter,use,vacuolar sugar accumulation
tonoplasts,part of,plant cells
plant cells,has part,tonoplasts
overexpressing,opposite of,opposite effects
opposite effects,opposite of,overexpressing
swarming motility,subclass of,multicellular migration
Illumina,product or material produced,NextSeq
NextSeq,developer,Illumina
in silico,subclass of,comparative investigation
Phenotypic heterogeneity,subclass of,adaptive strategy
catheter associated urinary tract infection,subclass of,host pathogen interactions
Zhengyin 1,parent taxon,Triticum aestivum
WRAB18,instance of,promoter sequence
immunogenic microsatellite instable high,subclass of,SSL
mesenchymal microsatellite stable,subclass of,SSL
post colonoscopy,subclass of,interval cancer
pre malignant,different from,non malignant SSLs
non malignant SSLs,different from,pre malignant
SSLD,use,clinical implications
type 1 interferon,has part,TLR4
induced pluripotent stem cell,subclass of,Stem cell
embryonic stem cell,subclass of,Stem cell
hematopoietic stem and progenitor cell,subclass of,Stem cell
DNA,has part,bases
bases,part of,DNA
malaria endemic regions,facet of,Malaria
immune destruction,facet of,host's
reprogram,subclass of,reprogram
ERBB,subclass of,tyrosine kinase receptor
interproximal reduction,subclass of,Adjunctive procedure
2004,point in time,2004
MEDLINE,part of,Cochrane Oral Health Trials Register
alignment,different from,aligners
aligners,different from,alignment
risk of bias,facet of,extracted data
95% confidence intervals,facet of,hazard ratio
Little's Irregularity Index,subclass of,Crookedness of anterior teeth
removable,opposite of,fixed retainers
fixed retainers,opposite of,removable
high risk of bias,opposite of,low risk
low risk,opposite of,high risk of bias
Removable versus fixed retainers,number of participants,56
fixed,different from,Removable (full time) versus fixed
gingival bleeding,has cause,retainer failure
retainer failure,has effect,gingival bleeding
Computer aided design,different from,computer aided manufacturing
computer aided manufacturing,different from,Computer aided design
RR,part of,CI
fibre reinforced composite,different from,Fibre reinforced composite versus conventional multistrand/spiral wire
Fibre reinforced composite versus conventional multistrand/spiral wire,different from,fibre reinforced composite
bleeding on probing,subclass of,gingival inflammation
Clear plastic versus Hawley,subclass of,removable retainers
1 study,number of participants,111 participants
Part time versus full time wear of Hawley,number of participants,52 participants
fase de retención,has part,posición inicial
posición inicial,part of,fase de retención
retenedores fijos,different from,removibles
removibles,different from,retenedores fijos
